t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
7053630,10000,10,-1.666,-1.472,0.517,2.282,2.035,7.05363,0.546,0.031
7153630,10000,10,2,1.956,0.414,2.828,2.004,7.15363,0.249,0.066
7253630,10000,10,-1.867,-1.771,0.171,2.579,2.07,7.25363,0.27,0.285
7353630,10000,10,2,2,0.343,2.849,2.355,7.35363,1.551,0.203
7453630,10000,10,-0.72,-1.029,0.328,1.298,2.152,7.45363,1.467,0.465
7553630,10000,10,2,1.888,0.283,2.765,2.617,7.55363,1.064,0.478
7653630,10000,10,1.623,0.207,0.466,1.701,2.139,7.65363,1.055,0.377
7753630,10000,10,0.524,-0.286,0.248,0.646,2.516,7.75363,2.275,0.099
7853630,10000,10,2,1.95,0.856,2.921,2.417,7.85363,0.268,0.022
7953630,10000,10,-1.717,-2,0.302,2.653,2.395,7.95363,0.186,0.02
8053630,10000,10,2,2,0.241,2.839,2.375,8.05363,0.125,0.076
8153630,10000,10,-1.804,-2,0.332,2.714,2.299,8.15363,0.131,0.155
8253630,10000,10,2,2,0.303,2.845,2.454,8.25363,0.106,0.24
8353630,10000,10,-2,-1.871,-0.003,2.739,2.214,8.35363,0.09,0.192
8453630,10000,10,2,2,0.077,2.829,2.022,8.45363,0.161,0.024
8553630,10000,10,-2,-1.763,0.1,2.668,1.998,8.55363,0.135,0.24
8653630,10000,10,1.544,2,-0.183,2.533,2.238,8.65363,1.563,0.676
8753630,10000,10,-0.617,-0.585,0.468,0.97,1.562,8.75363,0.06,0.558
8853630,10000,10,0.493,0.905,-0.014,1.03,2.12,8.85363,1.601,0.494
8953630,10000,10,1.591,2,0.626,2.631,1.626,8.95363,0.521,0.398
9053630,10000,10,-1.566,-1.374,0.335,2.11,2.024,9.05363,0.736,0.04
9153630,10000,10,2,2,0.317,2.846,1.984,9.15363,0.742,0.01
9253630,10000,10,-1.548,-1.425,0.023,2.104,1.974,9.25363,0.443,0.294
9353630,10000,10,1.668,1.914,-0.205,2.547,2.268,9.35363,1.2,0.446
9453630,10000,10,1.16,0.607,0.315,1.347,1.822,9.45363,0.723,0.564
9553630,10000,10,-0.263,-0.286,0.489,0.624,2.386,9.55363,2.359,0.063
9653630,10000,10,2,2,0.948,2.983,2.323,9.65363,0.378,0.011
9753630,10000,10,-1.65,-2,0.254,2.605,2.334,9.75363,0.352,0.072
9853630,10000,10,2,2,0.864,2.957,2.406,9.85363,0.422,0.383
9953630,10000,10,-1.503,-2,0.41,2.535,2.023,9.95363,0.417,0.249
10053630,10000,10,2,2,0.844,2.952,2.272,10.05363,0.118,0.089
10153630,10000,10,-2,-2,0.171,2.834,2.183,10.15363,0.016,0.179
10253630,10000,10,2,2,0.353,2.85,2.362,10.25363,0.002,0.145
10353630,10000,10,-2,-2,0.333,2.848,2.217,10.35363,0.006,0.212
10453630,10000,10,2,2,0.274,2.842,2.429,10.45363,0.172,0.261
10553630,10000,10,-1.712,-2,0.445,2.67,2.168,10.55363,0.162,0.199
10653630,10000,10,2,2,-0.141,2.832,2.367,10.65363,0.003,0.028
10753630,10000,10,-2,-2,0.052,2.829,2.339,10.75363,0.008,0.116
10853630,10000,10,2,2,-0.215,2.837,2.455,10.85363,0.003,0.063
10953630,10000,10,-2,-2,0.253,2.84,2.392,10.95363,0.023,0.061
11053630,10000,10,2,2,-0.441,2.863,2.453,11.05363,1.915,0.377
11153630,10000,10,0.478,-0.602,0.554,0.948,2.076,11.15363,0.288,0.447
11253630,10000,10,0.978,0.694,0.298,1.236,2.523,11.25363,1.415,0.404
11353630,10000,10,2,1.679,0.458,2.651,2.119,11.35363,0.43,0.299
11453630,10000,10,-0.691,-1.941,0.829,2.221,2.418,11.45363,0.618,0.03
11553630,10000,10,2,2,0.247,2.839,2.448,11.55363,0.002,0.01
11653630,10000,10,-2,-2,0.218,2.837,2.438,11.65363,0.002,0.062
11753630,10000,10,2,2,-0.245,2.839,2.376,11.75363,0.006,0.062
11853630,10000,10,-2,-2,0.165,2.833,2.314,11.85363,0.013,0.079
11953630,10000,10,2,2,-0.315,2.846,2.393,11.95363,0.268,0.033
12053630,10000,10,-1.543,-2,0.513,2.578,2.36,12.05363,0.278,0.193
12153630,10000,10,2,2,-0.398,2.856,2.553,12.15363,1.614,0.35
12253630,10000,10,0.434,-0.958,0.661,1.242,2.203,12.25363,0.535,0.358
12353630,10000,10,1.538,0.889,0.013,1.777,2.561,12.35363,0.484,0.414
12453630,10000,10,2,1.048,0.105,2.261,2.147,12.45363,1.177,0.312
12553630,10000,10,0.197,-0.807,0.697,1.084,2.459,12.55363,1.752,0.073
12653630,10000,10,2,2,0.209,2.836,2.386,12.65363,0.42,0.028
12753630,10000,10,-1.1,-2,0.792,2.416,2.414,12.75363,0.579,0.085
12853630,10000,10,2,2,0.985,2.995,2.499,12.85363,0.509,0.254
12953630,10000,10,-1.368,-2,0.555,2.486,2.245,12.95363,0.362,0.244
13053630,10000,10,2,2,0.332,2.848,2.489,13.05363,0.41,0.174
13153630,10000,10,-0.924,-2,1.043,2.438,2.315,13.15363,0.759,0.15
13253630,10000,10,2,2,-1.491,3.197,2.465,13.25363,0.027,0.164
13353630,10000,10,-1.432,-2,2,3.17,2.629,13.35363,0.211,0.04
13453630,10000,10,2,1.852,-2,3.381,2.669,13.45363,0.975,0.119
13553630,10000,10,-0.645,-1.416,1.835,2.406,2.55,13.55363,0.727,0.098
13653630,10000,10,2,1.347,-2,3.133,2.648,13.65363,2.477,0.024
13753630,10000,10,0.357,-0.312,0.453,0.656,2.624,13.75363,1.334,0.434
13853630,10000,10,1.657,0.691,-0.86,1.99,2.19,13.85363,0.184,0.725
13953630,10000,10,1.342,0.849,-0.861,1.806,2.915,13.95363,1.027,1.018
14053630,10000,10,0.107,-0.362,0.681,0.779,1.897,14.05363,2.177,1.004
14153630,10000,10,2,1.653,-1.416,2.956,2.901,14.15363,0.487,0.738
14253630,10000,10,-1.248,-1.83,1.09,2.469,2.163,14.25363,0.446,0.051
14353630,10000,10,2,0.706,-2,2.915,2.214,14.35363,1.776,0.226
14453630,10000,10,-0.121,1.01,0.512,1.139,1.988,14.45363,0.852,0.788
14553630,10000,10,-0.548,-1.239,1.459,1.991,2.776,14.55363,0.964,0.307
14653630,10000,10,2,0.854,-2,2.955,2.469,14.65363,0.509,0.059
14753630,10000,10,-2,-2,2,3.464,2.41,14.75363,0.775,0.129
14853630,10000,10,2,1.276,-1.267,2.689,2.539,14.85363,1.595,0.168
14953630,10000,10,0.396,0.606,0.82,1.094,2.707,14.95363,0.483,0.198
15053630,10000,10,-0.509,-1.406,0.5,1.577,2.905,15.05363,1.525,0.364
15153630,10000,10,2,1.274,-2,3.102,2.541,15.15363,0.362,0.236
15253630,10000,10,-2,-2,2,3.464,2.777,15.25363,0.347,0.238
15353630,10000,10,2,1.311,-2,3.117,2.539,15.35363,1.201,0.289
15453630,10000,10,-0.886,-0.841,1.476,1.916,2.25,15.45363,0.565,0.402
15553630,10000,10,1.319,-0.238,-0.167,1.351,2.652,15.55363,1.09,0.22
15653630,10000,10,2,0.363,-1.353,2.441,2.432,15.65363,0.233,0.492
15753630,10000,10,-0.812,0.464,2,2.208,1.94,15.75363,0.348,0.229
15853630,10000,10,2,-0.141,-1.585,2.556,2.169,15.85363,0.779,0.422
15953630,10000,10,1.041,1.44,-0.044,1.777,2.591,15.95363,0.096,0.277
16053630,10000,10,-0.505,-0.969,1.277,1.681,2.314,16.05363,1.148,0.066
16153630,10000,10,2,-0.028,-2,2.829,2.38,16.15363,0.507,0.266
16253630,10000,10,-1.021,-0.59,2,2.322,2.114,16.25363,0.006,0.253
16353630,10000,10,2,-0.382,-1.104,2.316,2.367,16.35363,0.141,0.31
