Data - Rest (2)
t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
7053629,10000,10,0.042,0.006,1.012,1.013,1.013,7.053629,0.001,0.002
7153629,10000,10,0.041,0.005,1.011,1.012,1.011,7.153629,0.008,0
7253629,10000,10,0.044,0.005,1.003,1.004,1.011,7.253629,0.01,0.001
7353629,10000,10,0.044,0.001,1.013,1.014,1.012,7.353629,0.001,0.002
7453629,10000,10,0.038,0.003,1.014,1.015,1.014,7.453629,0.002,0.001
7553629,10000,10,0.042,0,1.012,1.013,1.013,7.553629,0.009,0.001
7653629,10000,10,0.043,0.005,1.003,1.004,1.012,7.653629,0.007,0
7753629,10000,10,0.045,0.002,1.01,1.011,1.012,7.753629,0.002,0
7853629,10000,10,0.041,0.003,1.012,1.013,1.012,7.853629,0.002,0
7953629,10000,10,0.041,0.002,1.014,1.015,1.012,7.953629,0.005,0
8053629,10000,10,0.041,0.004,1.009,1.01,1.012,8.053629,0.002,0.001
8153629,10000,10,0.041,0.005,1.008,1.008,1.011,8.153629,0.01,0
8253629,10000,10,0.045,0.004,1.017,1.018,1.011,8.253629,0.012,0
8353629,10000,10,0.044,0.004,1.005,1.006,1.011,8.353629,0.005,0.001
8453629,10000,10,0.038,0.003,1.011,1.011,1.012,8.453629,0.001,0.001
8553629,10000,10,0.043,0.004,1.011,1.012,1.013,8.553629,0,0.001
8653629,10000,10,0.042,0.008,1.011,1.012,1.012,8.653629,0.001,0
8753629,10000,10,0.041,0.007,1.01,1.011,1.012,8.753629,0.006,0.002
8853629,10000,10,0.041,0.006,1.017,1.017,1.014,8.853629,0.005,0.002
8953629,10000,10,0.039,0.003,1.011,1.012,1.012,8.953629,0.002,0.001
9053629,10000,10,0.045,0.002,1.009,1.01,1.013,9.053629,0.002,0.002
9153629,10000,10,0.042,0,1.011,1.012,1.011,9.153629,0.005,0.001
9253629,10000,10,0.042,0.006,1.016,1.017,1.012,9.253629,0.005,0
9353629,10000,10,0.044,0.002,1.011,1.012,1.012,9.353629,0.002,0
9453629,10000,10,0.043,0.004,1.01,1.01,1.012,9.453629,0.002,0.001
9553629,10000,10,0.042,0.002,1.011,1.012,1.011,9.553629,0.002,0.002
9653629,10000,10,0.043,0.004,1.013,1.014,1.013,9.653629,0.001,0.001
9753629,10000,10,0.041,0.003,1.014,1.015,1.012,9.753629,0.003,0.001
9853629,10000,10,0.042,0.003,1.011,1.012,1.011,9.853629,0.002,0.001
9953629,10000,10,0.043,0.007,1.013,1.014,1.012,9.953629,0.006,0.001
